row,token_address,name,create_block,create_time,create_hour_utc,create_dow,creator,deployer_prior_launches,deployer_prior_grads,deployer_grad_rate,dev_buy_usd,dev_sell_usd,dev_sell_pct_supply,dev_net_usd,kol_count_final,kol_count_at_entry,combo_k1k2,combo_k1k2k3,combined_notional_k1k2_usd,kol1_7d_win_rate,kol2_7d_win_rate,kol1_name,kol1_buy_block,kol1_buy_usd,kol1_sell_usd,kol1_pnl_usd,kol1_held_at_entry,kol1_holder_count,kol2_name,kol2_buy_block,kol2_buy_usd,kol2_sell_usd,kol2_pnl_usd,kol2_held_at_entry,kol2_holder_count,kol1_kol2_delta_blocks,kol3_name,kol3_buy_block,kol3_buy_usd,kol3_sell_usd,kol3_pnl_usd,kol3_holder_count,kol2_kol3_delta_blocks,kol4_name,kol4_buy_block,kol4_buy_usd,kol4_sell_usd,kol4_pnl_usd,kol4_holder_count,kol5_name,kol5_buy_block,kol5_buy_usd,kol5_sell_usd,kol5_pnl_usd,kol5_holder_count,holder_count_at_entry,holder_growth_kol1_to_kol2,holder_growth_kol2_to_entry,entry_mcap_usd,bonding_curve_pct,age_blocks_at_entry,peak_mcap_usd,low_mcap_usd,graduated,peak_mult_vs_slot2_entry,bnb_price_usd,btc_4h_change_pct,bnb_4h_change_pct,ml_score,current_mcap_usd,signal_mode,signal_mode_label,position_bnb,sl_x,signal_block,signal_tx,deployer_score_signal,deployer_success_rate_signal,deployer_successful_signal,deployer_total_tokens_signal
11,0xd8b460d8ca9d3220c53ff938deaf22e1aa9f4444,MIRO U中文名,89740299,2026-03-31T04:45:52.066+00:00,23,2,0xe881f671b1ede86d4a8e3315ce13b77257ec7525,34,10,0.2941,0,0,0.0000,-0,2,2,C→B,,92.3840,,,C,89740303,49.4215,,,,8,B,89740305,42.9625,,,,12,2,,,,,,,,,,,,,,,,,,,,12,4.0000,,6348,0.1612,6,,,,,609.32,0.0136,0.0071,0.4586,7564,0,NONE,0.0000,0.0000,0x5595411,0x97f52c5e43c64be5bdda5c4057e4bd54a679b204f2f9dba5a24781c77344af64,26.38,0.2941,10,34
12,0x270f1c18d2bbe4dc947333199cf7331493e84444,真名,89741147,2026-03-31T04:52:58.527+00:00,0,3,0x9e021739174c058a8947182f2659f9639f6ae8d0,27,1,0.0370,0,450,0.0000,-450,2,2,B→C,,68.5254,,,B,89741226,31.9724,,,,10,C,89741253,36.5530,,,,30,27,,,,,,,,,,,,,,,,,,,,30,20.0000,,5077,0.2104,106,,,,,609.32,0.0136,0.0071,0.1190,9116,0,NONE,0.0000,0.0000,0x55957c5,0x92b540a6759b4ec5b759227c29e4fdcb0a21e77770756dc1b15d6ac808f27f65,11.73,0.0370,1,27
13,0x49da4b80e661af89698bec0c0d6b5937debc4444,MakeFarmGreatAgain,89743010,2026-03-31T05:06:11.827+00:00,2,3,0x815f173371323a3f8ea9bf15059e91c9577ef7a7,34,7,0.2059,0,0,0.0000,-0,2,2,B→D,,97.2917,,,B,89743013,43.7570,,,,4,D,89743018,53.5347,,,,13,5,,,,,,,,,,,,,,,,,,,,13,9.0000,,5376,0.2098,8,,,,,609.32,0.0136,0.0071,0.3280,9951,0,NONE,0.0000,0.0000,0x5595eaa,0x8a52438debd1d56863e4720f5057b095b75e62bb2404c703b655bebc3d11a932,21.44,0.2059,7,34
14,0xb14d7704de3d8c37e755692cae8884979fc94444,愚人节 CZ+heyi=41,89703719,2026-03-31T06:01:30.395+00:00,17,1,0x4c740f8e22fc51c2b96fe3460b90758fe6ec61aa,19,1,0.0526,0,0,0.0000,-0,2,2,B→D,,97.8817,,,B,89741797,33.5509,,,,,D,89750391,64.3308,,,,,8594,,,,,,,,,,,,,,,,,,,,0,,,12884,0.5729,46672,,,,,609.32,0.0136,0.0071,0.0924,24984,0,NONE,0.0000,0.0000,0x5597b77,0x30c7f487acb96703df4010e50f9a11efe7b883e0b924027ab667fff6bd955e06,14.40,0.0526,1,19
15,0xe1de48519853e510040038dc10904b3b1ef64444,Official HY,89750490,2026-03-31T06:02:25.175+00:00,8,3,0xd4367bfd77bb1eef476cb8e570ab1cb0a576a66d,156,15,0.0962,0,417,0.0000,-417,2,2,B→C,,90.1175,,,B,89750509,56.5673,,,,9,C,89750513,33.5502,,,,16,4,,,,,,,,,,,,,,,,,,,,16,7.0000,,6620,0.0581,23,,,,,609.32,0.0136,0.0071,0.3471,4785,0,NONE,0.0000,0.0000,0x5597bf1,0x4219b603d9138e5318a13ef05b7f720a3164df23718706b14c56279f193e37a8,13.14,0.0962,15,156
16,0xddab5ef0c885c1419543c95dc9dfd84874cf4444,Official HY,89750503,2026-03-31T06:02:28.781+00:00,8,3,0xd4367bfd77bb1eef476cb8e570ab1cb0a576a66d,156,15,0.0962,0,537,0.0000,-537,2,2,B→C,,90.0650,,,B,89750518,42.7103,,,,7,C,89750520,47.3547,,,,13,2,,,,,,,,,,,,,,,,,,,,13,6.0000,,4507,0.1119,17,,,,,609.32,0.0136,0.0071,0.1392,6155,0,NONE,0.0000,0.0000,0x5597bf8,0xeb4ac42518a5a59038c2df298ac95f91d82b7691801eedb36d9e6cbb770ddcf9,13.14,0.0962,15,156
17,0x28e379d714b0c45350ef32145f14202ebd694444,Official CZ,89750439,2026-03-31T06:03:55.953+00:00,8,3,0x609f2c912175f8cd4438c1882f291fa6a4b4c735,1,1,1.0000,0,5454,0.0000,-5454,2,2,C→B,,85.5994,,,C,89750500,47.3886,,,,58,B,89750710,38.2109,,,,222,210,,,,,,,,,,,,,,,,,,,,222,164.0000,,19457,0.7669,271,,,,,609.32,0.0136,0.0071,0.2529,36698,0,NONE,0.0000,0.0000,0x5597cb6,0x79a5c01aac830e56913f03ad1b15e8cec80a757f797d1063e77daae8c42b6217,55.00,1.0000,1,1
18,0xfae60514bb6d940d6ff33ced0c8ea15726854444,愚人自以为聪明，智者自知愚拙,89751717,2026-03-31T06:11:35.315+00:00,9,3,0xfd89322f0b1566328268e9bf8bb3737d5f5a3baa,15,2,0.1333,0,2136,0.0000,-2136,2,2,C→B,,91.1656,,,C,89751724,42.6546,,,,8,B,89751736,48.5110,,,,26,12,,,,,,,,,,,,,,,,,,,,26,18.0000,,7000,0.2029,19,,,,,609.32,0.0136,0.0071,0.0381,8870,0,NONE,0.0000,0.0000,0x55980b8,0x73dbd0dedebb6e7497a2aeaa5fc1e56eeee57456f2a6f560ef83b03559f6da03,19.79,0.1333,2,15
19,0x9eb5fc259d082c0d6ee47d484d48754fb8044444,愚人自以为聪明，但智者知道自己是个傻子,89751723,2026-03-31T06:12:17.597+00:00,9,3,0xd8fe5585797bd20f10c77a1dba203184d3f2ccfb,14,5,0.3571,0,419,0.0000,-419,2,2,B→C,,94.3105,,,B,89751765,41.9023,,,,13,C,89751825,52.4083,,,,24,60,,,,,,,,,,,,,,,,,,,,24,11.0000,,6912,0.1231,102,,,,,609.32,0.0136,0.0071,0.0832,6463,0,NONE,0.0000,0.0000,0x5598111,0x6224a156aa7d262833f7c113e2f09f5c3b1ac396905c8e73d3b3974063e0fc2e,21.61,0.3571,5,14
20,0x7f93e4a2b7105343ae2434d3790ee147106c4444,预测市场,89751931,2026-03-31T06:13:04.967+00:00,9,3,0x92d693a469cee71422af071b70df6d24125da075,122,17,0.1393,0,0,0.0000,-0,2,2,C→B,,52.9819,,,C,89751935,15.3365,,,,13,B,89751935,37.6454,,,,13,,,,,,,,,,,,,,,,,,,,,13,,,14398,0.3524,4,,,,,609.32,0.0136,0.0071,0.3573,14398,0,NONE,0.0000,0.0000,0x559817f,0xa9b8d2a6d31df70c491bca3d648044d0a9a78999f65526308530d99012614b29,16.76,0.1393,17,122
