deployer,total_tokens,rugged,honeypots,successful,avg_lifespan_hours,success_rate,rug_rate,score,first_seen_block,last_seen_block
0x29b4102701aeb9c000e5c9b4e1ddb9ac2f6c6bc3,1,0,0,1,0.0,1.0,0.0,39.3047,88852027,88852027
0x2a773e19783d31d93fbe2afefb36dc3c5862dfdf,2,0,0,0,0.0,0.0,0.0,0.0,87105565,87456664
0x2aaac3244734313fa6988670e41dfae39fe91544,1,0,0,0,0.0,0.0,0.0,0.0,87208173,87208173
0x2b22aee698052484d5b8fc27b1380fa464611901,1,0,0,0,0.0,0.0,0.0,0.0,87313721,87313721
0x2b34e20163bee7e65be8c37ab8bce522fc54b3ea,1,0,0,0,0.0,0.0,0.0,0.0,88690719,88690719
0x2b4c8ca009a77b51151e0b59ba5f4817fbe03e34,1,0,0,0,0.0,0.0,0.0,0.0,86850065,86850065
0x2b779df772e066e06af66640c513517b00e827a1,1,0,0,0,0.0,0.0,0.0,0.0,88181121,88181121
0x2bbfb9485e5a9a507cb0414e246acc3b56210a83,3,0,0,1,0.0,0.333333,0.0,22.742,87859836,87878743
0x2bdc54bb68c2de45455492c57e825cf8a80b1a5e,2,0,0,0,0.0,0.0,0.0,0.0,87469970,87847672
0x2c043867169d0059ac5a34ae6076089d4f0c3f9a,5,0,0,1,0.0,0.2,0.0,17.0617,88181502,89253808
0x2cdcb3414119c9401e14584c5da8003b199b3680,1,0,0,0,0.0,0.0,0.0,0.0,87856758,87856758
0x2d3e517d0a6eefb1e5bfe23f5dc65e3c74a067e1,1,0,0,0,0.0,0.0,0.0,0.0,89115202,89115202
0x2d5f252bc84d055ff664497208b571917e4f951c,30,1,0,3,0.0,0.1,0.033333,15.8637,86908826,89223074
0x2d7662a0dab9f2a131a76d1c92dae71c2e44cfcf,2,0,0,0,0.0,0.0,0.0,0.0,89224398,89243924
0x2dbbf4a9c1d860ce8008f42da8e30de8d44bc73b,5,0,0,0,0.0,0.0,0.0,8.0,87998948,88569900
0x2df3d699bcec519497fc2e10a9363ecc0f48cd16,1,0,0,0,0.0,0.0,0.0,2.4813,87059733,87059733
0x2e49109d3c09b5bf9cedef730ea99d76db5efb44,1,0,0,0,0.0,0.0,0.0,0.0,86938707,86938707
0x2f84d99c02082f5c478c6794ba49552b03e51e29,1,0,0,1,0.0,1.0,0.0,42.0,88338470,88338470
0x2fcceabe685f25af85bcea70b4aab2ff33fc837b,1,0,0,0,0.0,0.0,0.0,0.0,87087913,87087913
